CT_ID_10,total_pop,num_white,pct_white,num_black,pct_black,num_ai,pct_ai,num_asian,pct_asian,num_asianind,pct_asianind,num_latino,pct_latino,total_h_units
25025130406,5650,2093,37,2858,50.6,0,0,367,6.5,0,0,1110,19.6,2441
25025140102,5041,2187,43.4,2270,45,0,0,178,3.5,7,0.1,847,16.8,1816
25025140105,3928,1848,47,1313,33.4,0,0,98,2.5,10,0.3,1144,29.1,1419
25025140106,1912,516,27,1080,56.5,0,0,11,0.6,3,0.2,501,26.2,913
25025140107,2532,1205,47.6,900,35.5,58,2.3,0,0,0,0,688,27.2,1090
25025140201,2397,1155,48.2,768,32,134,5.6,109,4.5,4,0.2,534,22.3,980
25025140202,6282,2797,44.5,2094,33.3,0,0,216,3.4,9,0.1,1702,27.1,2236
25025140300,6961,1885,27.1,3643,52.3,12,0.2,2,0,0,0,1786,25.7,2545
25025140400,8971,1048,11.7,6829,76.1,14,0.2,18,0.2,0,0,1545,17.2,3057
25025980300,383,150,39.2,129,33.7,10,2.6,24,6.3,0,0,119,31.1,0
25025980700,11,11,100,0,0,0,0,0,0,0,0,0,0,8
25025981000,0,0,-,0,-,0,-,0,-,0,-,0,-,0
25025981100,551,168,30.5,287,52.1,6,1.1,6,1.1,0,0,115,20.9,147
25025981201,0,0,-,0,-,0,-,0,-,0,-,0,-,0
25025981202,195,132,67.7,32,16.4,0,0,21,10.8,0,0,0,0,0
25025981300,428,322,75.2,37,8.6,0,0,18,4.2,0,0,120,28,270
25025981502,12,0,0,12,100,0,0,0,0,0,0,0,0,4
25025981600,0,0,-,0,-,0,-,0,-,0,-,0,-,0
25025981700,0,0,-,0,-,0,-,0,-,0,-,0,-,0
25025981800,53,53,100,0,0,0,0,0,0,0,0,0,0,40
